repository owner,repository name,repository url,repository stars
mrdoob,three.js,https://github.com/mrdoob/three.js,96.8k
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,25k
libgdx,libgdx,https://github.com/libgdx/libgdx,22.4k
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,21.9k
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,18.7k
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,16.6k
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,16.4k
aframevr,aframe,https://github.com/aframevr/aframe,15.9k
CesiumGS,cesium,https://github.com/CesiumGS/cesium,11.4k
blender,blender,https://github.com/blender/blender,10.6k
MonoGame,MonoGame,https://github.com/MonoGame/MonoGame,10.5k
metafizzy,zdog,https://github.com/metafizzy/zdog,10.2k
isl-org,Open3D,https://github.com/isl-org/Open3D,10k
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,9.3k
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7.5k
nerfstudio-project,nerfstudio,https://github.com/nerfstudio-project/nerfstudio,7.5k
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,7k
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,6.9k
google,model-viewer,https://github.com/google/model-viewer,6.3k
openscad,openscad,https://github.com/openscad/openscad,6.2k
