repository owner,repository name,repository url,repository stars
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,275k
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,179k
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,175k
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,170k
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,104k
kdn251,interviews,https://github.com/kdn251/interviews,60.8k
krahets,hello-algo,https://github.com/krahets/hello-algo,58.6k
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,55.3k
azl397985856,leetcode,https://github.com/azl397985856/leetcode,53.1k
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,45.7k
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,44.6k
huihut,interview,https://github.com/huihut/interview,31.7k
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,31.3k
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,30.2k
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,28.3k
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,28.2k
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,27k
keon,algorithms,https://github.com/keon/algorithms,23.3k
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,22.3k
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,22.2k
