repository owner,repository name,repository url,repository stars
flutter,flutter,https://github.com/flutter/flutter,159k
facebook,react-native,https://github.com/facebook/react-native,114k
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,107k
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,96.7k
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,73.3k
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,49.8k
google,material-design-icons,https://github.com/google/material-design-icons,49.2k
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,48.2k
square,okhttp,https://github.com/square/okhttp,44.9k
android,architecture-samples,https://github.com/android/architecture-samples,43.5k
square,retrofit,https://github.com/square/retrofit,42.3k
laurent22,joplin,https://github.com/laurent22/joplin,40.3k
dcloudio,uni-app,https://github.com/dcloudio/uni-app,39k
appwrite,appwrite,https://github.com/appwrite/appwrite,38.9k
fastlane,fastlane,https://github.com/fastlane/fastlane,38.3k
skylot,jadx,https://github.com/skylot/jadx,37.8k
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,37.1k
airbnb,lottie-android,https://github.com/airbnb/lottie-android,34.5k
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,34.4k
bumptech,glide,https://github.com/bumptech/glide,34.2k
