repository owner,repository name,repository url,repository stars
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,107k
angular,angular,https://github.com/angular/angular,93.2k
storybookjs,storybook,https://github.com/storybookjs/storybook,81.5k
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,60.4k
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,50k
prettier,prettier,https://github.com/prettier/prettier,47.6k
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,39.9k
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,34.1k
angular,angular-cli,https://github.com/angular/angular-cli,26.4k
angular,components,https://github.com/angular/components,23.9k
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,23.4k
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,23k
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,21.1k
nrwl,nx,https://github.com/nrwl/nx,20.7k
wailsapp,wails,https://github.com/wailsapp/wails,20.3k
pubkey,rxdb,https://github.com/pubkey/rxdb,20.1k
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,20.1k
teambit,bit,https://github.com/teambit/bit,17.3k
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,16.5k
jasontaylordev,CleanArchitecture,https://github.com/jasontaylordev/CleanArchitecture,14.6k
