repository owner,repository name,repository url,repository stars
public-apis,public-apis,https://github.com/public-apis/public-apis,275k
neovim,neovim,https://github.com/neovim/neovim,72.7k
tiangolo,fastapi,https://github.com/tiangolo/fastapi,66.9k
strapi,strapi,https://github.com/strapi/strapi,58.3k
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,58.1k
ocornut,imgui,https://github.com/ocornut/imgui,53.1k
slatedocs,slate,https://github.com/slatedocs/slate,35.7k
Kong,insomnia,https://github.com/Kong/insomnia,32k
trpc,trpc,https://github.com/trpc/trpc,30.9k
httpie,cli,https://github.com/httpie/cli,30.8k
hasura,graphql-engine,https://github.com/hasura/graphql-engine,30.6k
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,30.1k
ccxt,ccxt,https://github.com/ccxt/ccxt,30.1k
encode,django-rest-framework,https://github.com/encode/django-rest-framework,27k
StanGirard,quivr,https://github.com/StanGirard/quivr,27k
YMFE,yapi,https://github.com/YMFE/yapi,26.8k
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,24.6k
directus,directus,https://github.com/directus/directus,24.3k
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,22.2k
shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist,21.7k
