repository owner,repository name,repository url,repository stars
bitwarden,server,https://github.com/bitwarden/server,13.8k
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,12.1k
abpframework,abp,https://github.com/abpframework/abp,11.9k
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,11.4k
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,8.7k
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,7k
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,6.6k
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,6.3k
FastEndpoints,FastEndpoints,https://github.com/FastEndpoints/FastEndpoints,3.6k
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2.9k
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2.6k
serenity-is,Serenity,https://github.com/serenity-is/Serenity,2.5k
mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,2.5k
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2.5k
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,2.5k
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1.5k
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1.2k
MarimerLLC,csla,https://github.com/MarimerLLC/csla,1.2k
smartstore,Smartstore,https://github.com/smartstore/Smartstore,964
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,832
