repository owner,repository name,repository url,repository stars
sindresorhus,awesome,https://github.com/sindresorhus/awesome,285k
vinta,awesome-python,https://github.com/vinta/awesome-python,194k
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,164k
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,118k
avelino,awesome-go,https://github.com/avelino/awesome-go,115k
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,80.9k
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,80.3k
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,73.3k
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,67.7k
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,62.8k
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,60.4k
enaqx,awesome-react,https://github.com/enaqx/awesome-react,60.2k
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,54.4k
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,52.8k
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,51.9k
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,50.5k
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,49.8k
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,48.2k
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,44.9k
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,44k
