repository owner,repository name,repository url,repository stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,60.4k
microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,22.4k
pulumi,pulumi,https://github.com/pulumi/pulumi,18.7k
recommenders-team,recommenders,https://github.com/recommenders-team/recommenders,17.2k
getsops,sops,https://github.com/getsops/sops,14.5k
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,14.5k
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,13.5k
caprover,caprover,https://github.com/caprover/caprover,11.6k
infracost,infracost,https://github.com/infracost/infracost,9.9k
google,go-cloud,https://github.com/google/go-cloud,9.3k
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,9.2k
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,9k
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7.4k
Netflix,metaflow,https://github.com/Netflix/metaflow,7.3k
midwayjs,midway,https://github.com/midwayjs/midway,7k
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,6.9k
node-formidable,formidable,https://github.com/node-formidable/formidable,6.9k
budtmo,docker-android,https://github.com/budtmo/docker-android,6.6k
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,6.6k
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,6.4k
