repository owner,repository name,repository url,repository stars
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,143k
nvm-sh,nvm,https://github.com/nvm-sh/nvm,73k
junegunn,fzf,https://github.com/junegunn/fzf,56.7k
google,zx,https://github.com/google/zx,39.4k
starship,starship,https://github.com/starship/starship,38.5k
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,35.9k
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,35.4k
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,34.9k
koalaman,shellcheck,https://github.com/koalaman/shellcheck,34.2k
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,29.8k
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,29.5k
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,26.9k
withfig,autocomplete,https://github.com/withfig/autocomplete,23.7k
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,19.6k
asdf-vm,asdf,https://github.com/asdf-vm/asdf,19.5k
kingToolbox,WindTerm,https://github.com/kingToolbox/WindTerm,18.5k
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,18k
warpdotdev,Warp,https://github.com/warpdotdev/Warp,16.8k
extrawurst,gitui,https://github.com/extrawurst/gitui,15.9k
charmbracelet,gum,https://github.com/charmbracelet/gum,15.7k
