repository owner,repository name,repository url,repository stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,73.3k
ccxt,ccxt,https://github.com/ccxt/ccxt,30.1k
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,24k
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,18.1k
solana-labs,solana,https://github.com/solana-labs/solana,11.1k
bbfamily,abu,https://github.com/bbfamily/abu,10.8k
askmike,gekko,https://github.com/askmike/gekko,10k
dvf,blockchain,https://github.com/dvf/blockchain,7.6k
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,7.3k
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7.2k
spesmilo,electrum,https://github.com/spesmilo/electrum,6.8k
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6.6k
butor,blackbird,https://github.com/butor/blackbird,5.8k
btcsuite,btcd,https://github.com/btcsuite/btcd,5.7k
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,5.6k
getumbrel,umbrel,https://github.com/getumbrel/umbrel,5.4k
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,5.3k
UFund-Me,Qbot,https://github.com/UFund-Me/Qbot,5.2k
jesse-ai,jesse,https://github.com/jesse-ai/jesse,5k
anders94,blockchain-demo,https://github.com/anders94/blockchain-demo,5k
