repository owner,repository name,repository url,repository stars
ccxt,ccxt,https://github.com/ccxt/ccxt,30.1k
discordjs,discord.js,https://github.com/discordjs/discord.js,24.4k
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,24k
wechaty,wechaty,https://github.com/wechaty/wechaty,18.1k
RasaHQ,rasa,https://github.com/RasaHQ/rasa,17.4k
hubotio,hubot,https://github.com/hubotio/hubot,16.5k
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,16k
leon-ai,leon,https://github.com/leon-ai/leon,14.1k
Rapptz,discord.py,https://github.com/Rapptz/discord.py,13.9k
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,13.8k
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,13.7k
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,12.7k
howdyai,botkit,https://github.com/howdyai/botkit,11.3k
lss233,chatgpt-mirai-qq-bot,https://github.com/lss233/chatgpt-mirai-qq-bot,11k
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,10k
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,9.7k
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,7.7k
microsoft,ailab,https://github.com/microsoft/ailab,7.6k
telegraf,telegraf,https://github.com/telegraf/telegraf,7.3k
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,7.3k
