repository owner,repository name,repository url,repository stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,96.7k
neovim,neovim,https://github.com/neovim/neovim,72.7k
obsproject,obs-studio,https://github.com/obsproject/obs-studio,53.4k
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,52.8k
git,git,https://github.com/git/git,48.5k
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,40.4k
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,38.2k
vim,vim,https://github.com/vim/vim,33.9k
curl,curl,https://github.com/curl/curl,32.8k
huihut,interview,https://github.com/huihut/interview,31.7k
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,25.5k
mpv-player,mpv,https://github.com/mpv-player/mpv,24.8k
ossrs,srs,https://github.com/ossrs/srs,23.5k
google,flatbuffers,https://github.com/google/flatbuffers,21.6k
ruby,ruby,https://github.com/ruby/ruby,21.1k
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,20.9k
microsoft,vcpkg,https://github.com/microsoft/vcpkg,20.6k
radareorg,radare2,https://github.com/radareorg/radare2,19.1k
hashcat,hashcat,https://github.com/hashcat/hashcat,19.1k
jarun,nnn,https://github.com/jarun/nnn,17.6k
